date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto
2010-02-15,326.19413012856774,335.75614737607185,306.6950028074902,334.381324228158,123.89406499751692,336.49911966728956,183.7398484501651,354.89954478276235,326.16629199142716,274.75132684006445
2010-02-16,327.20452331961314,347.698334370858,308.1887386337148,335.6332965433671,123.5992303737637,336.7390383693092,183.68545830016623,354.9515125808411,326.2043040949149,274.77627995943857
2010-02-17,328.21447956410145,359.75039365016795,309.6982866312563,336.8849729974381,123.3156926177135,336.97922009979624,183.62974629398954,355.0038223925931,326.2423021577869,274.80081996640945
2010-02-18,329.2239832748121,11.942281439349571,311.22351369831716,338.1363439280227,123.04381617803092,337.21964454218744,183.57274860020533,355.0564664425459,326.28028153425817,274.8249457431394
2010-02-19,330.233019989825,24.308693051429756,312.76434320952995,339.3874000068034,122.78392648285458,337.4602917512005,183.51450244262256,355.1094370722408,326.31823780934025,274.84865655666596
2010-02-20,331.2415760661057,36.89044387000132,314.3207491774786,340.6381317478763,122.53630919337759,337.70114155947135,183.45504533661605,355.1627260883501,326.35616613772004,274.87195138695336
2010-02-21,332.2496383749591,49.73402095195375,315.8927508439309,341.8885289951107,122.3012096258587,337.9421729377954,183.3944142582692,355.2163240578695,326.39406052788286,274.8948281979667
2010-02-22,333.25719406855546,62.88870411621898,317.48040765466584,343.13858044232023,122.07883232391319,338.18336334126207,183.33264476493406,355.2702195775058,326.431913097365,274.9172831762236
2010-02-23,334.264230529855,76.40073848231737,319.083814612773,344.388273293825,121.86934087901231,338.42468812778765,183.26977014252316,355.3243986012856,326.46971338123143,274.9393100168199
2010-02-24,335.2707357441156,90.3043117543552,320.7030981375239,345.6375933168111,121.67285833135948,338.6661202851986,183.2058208090636,355.3788440640204,326.5074479286303,274.9608994888888
2010-02-25,336.27669944406483,104.60977920170714,322.3384126934146,346.8865256896458,121.4894687873705,338.9076308781541,183.1408244037973,355.4335362246345,326.54510060954476,274.98203970096046
2010-02-26,337.28211531658445,119.29095075494361,323.98993843607525,348.1350570414411,121.31922108747479,339.1491906700621,183.0748070779652,355.4884542149604,326.58265411808713,275.00271755415025
2010-02-27,338.2869840761181,134.27517664978205,325.65787969716354,349.38317862935156,121.1621349609732,339.3907729821227,183.00779615204564,355.54357889923807,326.62009278318334,275.0229215011021
2010-02-28,339.2913161715527,149.44149850697002,327.3424631256731,350.63088954356067,121.01820885303346,339.63235683288605,182.93982330620443,355.5988961304384,326.65740578439534,275.042644721872
2010-03-01,340.29513208135785,164.63136777902884,329.0439334463856,351.87819790842747,120.88742713930142,339.8739284469805,182.87092647277308,355.6543985066535,326.694588890685,275.0618868503829
2010-03-02,341.29845888743966,179.6720088065651,330.7625453830987,353.1251186106664,120.7697643121314,340.1154796609875,182.80114892522843,355.71008411875226,326.73164322351937,275.0806527627339
2010-03-03,342.30132413030316,194.4060295228683,332.4985524082476,354.37166826372226,120.6651855246849,340.3570037744931,182.73053594874125,355.765952754555,326.768571508185,275.0989488876556
2010-03-04,343.3037498296471,208.7169999359924,334.2521947299411,355.61786000844194,120.57364505529716,340.5984911973033,182.65913122305793,355.82200182090617,326.8053740610729,275.11677927013926
2010-03-05,344.3057491727254,222.54291495562452,336.0236885536907,356.86370052036443,120.49508481540487,340.83992705736,182.58697491728861,355.8782240969633,326.84204660773116,275.13414346209345
2010-03-06,345.30732633521757,235.87590088243033,337.81321672868995,358.109189741128,120.4294339312122,341.08129121259145,182.5141038952201,355.93460776549705,326.8785803644428,275.15103665796545
2010-03-07,346.30847825675977,248.752176351738,339.620919356639,359.35432231734177,120.37660922008669,341.3225597005867,182.44055312377787,355.9911377968505,326.9149634529221,275.1674511405821
2010-03-08,347.3091969366977,261.2380652353865,341.44688272707265,0.5990894799511423,120.33651601899538,341.56370646834813,182.36635722751302,356.04779757626574,326.9511825412755,275.1833779341483
2010-03-09,348.3094713874167,273.4164890446907,343.2911254892238,1.843480615171744,120.30904903043715,341.80470473830326,182.29155163501812,356.104570166991,326.98722410943736,275.198808069664
2010-03-10,349.30928898587365,285.376056057781,345.15358151720187,3.087484318246715,120.29409310316977,342.04552787286144,182.2161732359409,356.16143909015335,327.02307522583953,275.21373335609616
2010-03-11,350.30863631021447,297.20312579323706,347.03407922151047,4.331089021550554,120.29152398606199,342.2861498637849,182.14026069870346,356.2183887523125,327.0587239703828,275.22814679689066
2010-03-12,351.3074996494881,308.97640403097495,348.9323171395458,5.574283364975699,120.30120909375094,342.52654562256856,182.06385462642655,356.27540469321764,327.09415967854153,275.242042828981
2010-03-13,352.30586533072903,320.7634790206783,350.84783562005106,6.817056423425153,120.3230082582762,342.76669117895557,181.98699764690028,356.3324737534691,327.1293731070892,275.25541748542014
2010-03-14,353.3037199391084,332.61889336326925,352.7799844245465,8.059397837310346,120.35677439331631,343.0065638174316,181.9097344498396,356.38958418366786,327.16435654276313,275.2682685024351
2010-03-15,354.30105045387745,344.58360633953214,354.72788617030886,9.301297843535407,120.40235398426199,343.2461421295186,181.83211173208628,356.44672566549434,327.1991038233743,275.2805953392161
2010-03-16,355.29784427560594,356.68587898579176,356.6903957307453,10.542747164700154,120.45958731712246,343.4854059196594,181.7541779741851,356.5038891770727,327.23361020245824,275.2923990400466
2010-03-17,356.2940891085157,8.943619716088612,358.6660560467985,11.783736711685469,120.52830839497244,343.7243359024576,181.67598297691302,356.56106663756447,327.2678719911328,275.30368187101226
2010-03-18,357.2897727007312,21.368037794086696,0.6530513124681026,13.024257103000195,120.60834457011173,343.96291318212076,181.59757714582366,356.6182503217774,327.30188596692557,275.31444671997343
2010-03-19,358.284882496784,33.96811969764699,2.649159142298458,14.264298062954124,120.69951599706982,344.2011185695377,181.5190105824168,356.6754321024225,327.3356486066097,275.32469631628686
2010-03-20,359.2794053011299,46.755092683693505,4.651704072917018,15.503847808349033,120.80163506123225,344.4389318447803,181.44033209667458,356.73260263115776,327.36915525403066,275.3344323812089
2010-03-21,0.27332708923383714,59.74581168235232,6.657515547150596,16.74289257001609,120.91450596293488,344.67633111066647,181.36158829416348,356.78975060724946,327.4023993718504,275.34365485812225
2010-03-22,1.266633115970488,72.96398321444435,8.662894271208865,17.981416405167238,121.03792463120872,344.91329238916387,181.28282289525674,356.8468622879046,327.4353720313159,275.35236137684643
2010-03-23,2.2593084689336345,86.43832381210932,10.6635914003341,19.21940145292828,121.17167913337062,345.1497896019014,181.2040764320839,356.9039213834089,327.468061782958,275.36054709480027
2010-03-24,3.2513392245514927,100.19710846331712,12.654805254863694,20.456828802075158,121.31555078370992,345.3857950869715,181.1253864828255,356.960909492891,327.50045506359703,275.3682050701017
2010-03-25,4.242714339529967,114.25914164629975,14.631199958709104,21.693680133216485,121.46931619827254,345.6212808005964,181.04678861092708,357.01780723816637,327.53253729701015,275.37532732422017
2010-03-26,5.233428234742347,128.62214155930764,16.586949237371968,22.92994015091967,121.63275045912307,345.85622022730246,180.96831807215597,357.074596136334,327.5642947303228,275.3819066383361
2010-03-27,6.223483605655494,143.25099412203673,18.515806455186222,24.165599433601543,121.80563122644313,346.09059067783124,180.89001203447967,357.1312609172373,327.5957167163283,275.38793879885213
2010-03-28,7.212893414096317,158.0699892848618,20.41119892460935,25.400656748716823,121.98774299369299,346.3243751288482,180.81191153733374,357.1877914663388,327.6267976296473,275.3934244885674
2010-03-29,8.201680674898173,172.9638517408446,22.26634130057323,26.63511949666421,122.17888012636601,346.55756242171657,180.73406205839783,357.2441832240723,327.6575372573533,275.39836967454204
2010-03-30,9.189875254268076,187.79049837163325,24.07436059456992,27.8690014494558,122.37884755323476,346.7901451172286,180.65651196851795,357.30043532303546,327.6879389526531,275.4027837881472
2010-03-31,10.177508479298739,202.40367075287227,25.828424724857136,29.10231840554296,122.58745916295311,347.0221156615895,180.57930942129985,357.3565470661994,327.7180061551552,275.4066762992965
2010-04-01,11.164607752202599,216.67838473897868,27.521866912163144,30.33508371404711,122.80453526355313,347.25346270995504,180.50249935650885,357.41251452252914,327.74773904548323,275.4100534411234
2010-04-02,12.151193272084253,230.5305070151902,29.148298692220802,31.56730557698882,123.02990067259648,347.4841693083439,180.4261221660203,357.46832888454094,327.7771329644442,275.41291669842724
